,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
358,2,J,20190211000000,82,0,42,4204
359,1,J,20190211000000,82,0,42,4204
360,2,J,20190211000000,0,0,42,4204
361,2,J,20190211000000,0,0,42,4204
362,2,J,20190211000000,0,0,42,4204
363,2,J,20190211000000,0,0,42,4204
364,1,J,20190211000000,0,0,42,4204
365,1,J,20190211000000,0,0,42,4204
366,2,J,20191031000000,45,200,42,4204
367,2,J,20191031000000,45,200,42,4204
368,3,J,20191031000000,45,200,42,4204
369,1,J,20191031000000,45,200,42,4204
370,3,J,20191031000000,45,200,42,4204
371,1,J,20191031000000,45,200,42,4204
372,3,J,20191031000000,45,200,42,4204
373,3,J,20191031000000,45,200,42,4204
374,2,J,20191031000000,45,200,42,4204
375,2,J,20191031000000,45,200,42,4204
376,3,J,20191031000000,45,200,42,4204
377,2,J,20191031000000,45,200,42,4204
378,2,J,20191031000000,45,200,42,4204
379,2,J,20191031000000,45,200,42,4204
380,2,J,20191031000000,45,200,42,4204
381,2,J,20191031000000,45,200,42,4204
382,1,J,20191031000000,82,0,42,4204
383,1,J,20191031000000,45,200,42,4204
384,2,J,20191031000000,45,200,42,4204
385,2,J,20191031000000,45,200,42,4204
386,2,J,20191031000000,45,200,42,4204
387,2,J,20191031000000,45,200,42,4204
388,2,J,20191031000000,45,200,42,4204
389,2,J,20191031000000,45,200,42,4204
390,1,J,20191031000000,45,200,42,4204
391,2,J,20191031000000,45,200,42,4204
392,1,J,20190211000000,45,200,42,4204
393,2,J,20190211000000,45,200,42,4204
394,1,J,20190211000000,0,0,42,4204
395,1,J,20190211000000,0,0,42,4204
396,1,J,20190211000000,0,0,42,4204
397,1,J,20190211000000,0,0,42,4204
398,1,J,20190211000000,0,0,42,4204
399,1,J,20190211000000,0,0,42,4204
400,1,J,20190211000000,0,0,42,4204
401,1,J,20190211000000,0,0,42,4204
402,1,J,20190211000000,0,0,42,4204
403,1,J,20190211000000,0,0,42,4204
404,2,J,20190211000000,0,0,42,4204
405,1,J,20190211000000,0,0,42,4204
406,1,J,20190211000000,0,0,42,4204
407,1,J,20190211000000,0,0,42,4204
408,2,J,20190211000000,0,0,42,4204
409,1,J,20190211000000,0,0,42,4204
410,1,J,20190211000000,0,0,42,4204
411,1,J,20190211000000,0,0,42,4204
412,1,J,20190211000000,0,0,42,4204
413,1,J,20190211000000,0,0,42,4204
414,1,J,20190211000000,0,0,42,4204
415,1,J,20190211000000,0,0,42,4204
416,1,J,20190211000000,0,0,42,4204
417,2,J,20190211000000,0,0,42,4204
418,1,J,20190211000000,0,0,42,4204
419,1,J,20190211000000,0,0,42,4204
420,1,J,20190211000000,0,0,42,4204
